Gene	P-value
TMEM39B	0.000682632478132803
KPNA6	0.09727811985516202
EIF3I	0.006180243879521406
MARCKSL1	0.016459299256380965
S100PBP	0.03945641887467388
AK2	0.050850048187925295
TRIM62	0.015077323357330266
RP11-415J8.7	0.0973791021444582
RP11-415J8.3	0.054020496355961914
NCDN	0.010914527122489125
TFAP2E	0.07893573648422046
PSMB2	0.006885927094610559
AGO4	0.007323651675549614
AGO3	0.024455692723025373
MEAF6	0.03985455365945639
MTF1	0.09071148495041444
RRAGC	0.05987849393980625
RP11-69E11.4	0.08650888160968269
PABPC4	0.02585195392353494
CAP1	0.0938765920194852
PPT1	0.04437977794940145
RP1-39G22.7	0.006724622064862349
ZMPSTE24	0.05088263656685307
RP1-228H13.2	0.0016317948053847634
RP1-228H13.5	0.02224808737121385
RP11-656D10.7	0.06356187177714161
ZFP69	0.03040987763902005
EXO5	0.07806442667276754
PPIH	0.0897831453101772
YBX1	0.0013708537635698514
P3H1	0.002942986307311276
RP5-1198O20.4	0.05858143855550636
DMAP1	0.01868743608030899
RNF220	0.03044782275276117
SNORD46	0.08869666448499205
PLK3	0.05018003104079842
HECTD3	0.01821107348634083
CCDC17	0.08023568397825333
GPBP1L1	0.013265835840841057
IPP	0.03702541529153789
PIK3R3	0.01402918658282702
LRRC41	0.0036441187449121554
MKNK1	0.08798008122189034
SLC5A9	0.09561890603909508
RP11-183G22.1	0.06362782969169337
RNU6-1281P	0.07889524723484591
OSBPL9	0.010972953231724999
KTI12	0.06828471519461536
CC2D1B	0.009053848295521224
FAM159A	0.0488215620464068
YIPF1	0.09168028580208977
TCEANC2	0.09276308326101965
RP4-758J24.4	0.06676550808046955
MRPL37	0.03538974275841774
SSBP3	0.04977284489386409
PARS2	0.07100274934810977
BSND	0.006535551937417269
RP1-158P9.1	0.02935376967291038
OMA1	0.06434037284539833
RP4-794H19.1	0.08732612241899942
USP1	0.027236329521474634
FOXD3-AS1	0.050072751678982876
ALG6	0.08708614264788682
ITGB3BP	0.007080530781233438
EFCAB7	0.05137034418702198
DLEU2L	0.06355665929558252
CACHD1	0.02512093609358903
LEPROT	0.09871980413007503
MIER1	0.025589309128764365
SERBP1	0.014263780465640552
GADD45A	0.03395640545531033
RP3-333A15.1	0.040582737373000305
FPGT	0.09325664834342824
ACADM	0.095557728303049
ST6GALNAC3	0.015083587915606343
USP33	0.010241631420870598
NEXN-AS1	0.025683319032364288
NEXN	0.023090579898420636
PTGFR	0.04988061890299334
HNRNPA1P64	0.0098631563678016
SPATA1	0.04601140055404552
CTBS	0.029664840198825832
RP11-33E12.2	0.06518995057818626
C1orf52	0.057336567616273405
ODF2L	0.0009457276234329839
RP4-612B15.3	0.008203960010596383
SH3GLB1	0.009593259951134537
SELENOF	0.02521826115398479
HS2ST1	0.0016954907234504066
PKN2	0.08662906577845884
RP11-82K18.2	0.09619237106114747
PTGES3P1	0.010006032919218973
GBP2	0.04175853233365542
KIAA1107	0.013912003889134321
RP4-621B10.8	0.04437977794940145
RP4-593M8.1	0.08872659084883852
CCDC18	0.0029721615842128847
DNTTIP2	0.04175853233365542
GCLM	0.04499999550576312
MTCO3P21	0.07070154402903094
ARHGAP29	0.08269582149765108
ABCD3	0.08579406601091946
PTBP2	0.038818430219419595
DPYD	0.032201507003242424
RP11-272L13.4	0.08223463736635303
MFSD14A	0.08854160701640401
SASS6	0.05467866955859697
RP11-421L21.2	0.09208290730222603
RP11-421L21.3	0.005567273484629335
S1PR1	0.08716767312795652
RP4-575N6.5	0.042045497966056715
AMY2B	0.021755255159433957
VAV3	0.0176995752777882
SLC25A24	0.028132613108326078
NBPF6	0.05947587543956068
FNDC7	0.08873249376524381
STXBP3	0.02116317618182967
GPSM2	0.036295400607523044
KIAA1324	0.015760279040930608
SARS	0.0031427411116984206
SORT1	0.02519513104574922
ATXN7L2	0.04848098581609819
GNAI3	0.07004706559895126
AMPD2	0.004978266771193283
RP5-1160K1.6	0.08979804550355286
GSTM4	0.018179997737704415
RP11-195M16.3	0.0027113461719120453
KCNC4	0.008226044078906017
CD53	0.055320991416028246
RP11-96K19.2	0.0678420692655126
LRIF1	0.006393246292808601
CEPT1	0.09228238646222763
RAP1A	0.034761523082189875
WNT2B	0.006610978920073592
ST7L	8.205754871327829e-06
CAPZA1	0.0735530598468236
RHOC	0.03467892466784011
MAGI3	0.03193887523909128
PHTF1	0.00720466702313195
RP4-730K3.3	0.018985282004759962
RSBN1	0.009931897733095581
HIPK1	0.09284933570897974
RP4-591B8.3	0.021064868584698124
RN7SL432P	0.053824012034933234
TSPAN2	0.05166797543930867
LINC01765	0.03574595441935226
NGF	0.09685553967931827
LINC01649	0.09503126597918984
SLC22A15	0.02198931867285988
MAB21L3	0.08230527829926106
ATP1A1	0.059549587792475295
WDR3	0.08095566152804703
WARS2	0.06998565042866674
LINC00622	0.027894056073998995
NOTCH2	0.04931172891154607
SEC22B	0.0099319600488055
CH17-118O6.3	0.07361670759814834
FCGR1B	0.021576030211125613
RP11-439A17.9	0.006279846425706891
CH17-13I23.3	0.03927008910241874
FCGR1CP	0.004541568200597322
RP5-998N21.4	0.0032555035604307438
RP11-14N7.2	0.04843522809564429
POLR3GL	0.08662906577845884
LINC01719	0.08729279193071206
RP6-74O6.2	0.08082615600313885
ABHD17AP1	0.03982701892459603
RP11-495P10.1	0.044151313091145526
RP11-495P10.10	0.008901867362230604
CH17-478G19.2	0.06004822186732479
FCGR1A	0.027335841716616717
RP11-196G18.3	0.0003169245822579897
SF3B4	0.062343194397820996
MTMR11	0.03975082239832854
APH1A	0.0017942519280490755
MCL1	0.09512368072069241
ENSA	0.07538192986161482
GOLPH3L	0.05207365651811164
PRUNE1	0.054020496355961914
BNIPL	0.057687398193580465
MLLT11	0.05703882914002844
PI4KB	0.013649201121084021
TUFT1	0.004011255044274147
SNX27	0.05561450320295648
RP11-98D18.17	0.03623145562779497
S100A10	0.023015390956742193
RPTN	0.077188999813978
CRTC2	0.031107401718060115
RP11-422P24.12	0.03927008910241874
HAX1	0.08044747013620163
AQP10	0.09432016341334222
ADAR	0.09681446206444458
PMVK	0.05057890864586101
FLAD1	0.03132693864510989
ADAM15	0.046024990243543396
EFNA1	0.015083587915606343
KRTCAP2	0.01837719443841542
SCAMP3	0.060424174484603056
RUSC1	0.041636716705531755
ASH1L-IT1	0.08276025033782454
DAP3	0.06543539643119699
RP11-101O6.2	0.060150413956383986
CCT3	0.07451621184612525
MEF2D	0.028772606117469162
SH2D2A	0.07119692871344498
ARHGEF11	0.059549587792475295
RP11-71G12.1	0.012862771283271813
OR10R3P	0.06665037284969864
IFI16	0.015424423643293767
AIM2	0.007598957746247293
FCER1A	0.005544963027214752
C1orf204	0.07415576194852733
RP11-226L15.5	0.02194974316163014
PEA15	0.004403019928451096
RP11-404F10.2	0.006500998568689388
CD244	0.02553792476868532
PFDN2	0.01376371895835106
UFC1	0.023076534489569745
B4GALT3	0.07451621184612525
PCP4L1	0.027311982042078298
FCGR2A	0.062454972018864435
FCGR2C	0.03629003806246847
FCGR3B	0.014502251717675477
FCGR2B	0.0011899161805189009
ATF6	0.04372496195468477
RP11-456P18.2	0.02395504638109116
RP11-466F5.3	0.018876205731392703
RP3-455J7.3	0.004595451317780247
ADCY10	0.059549587792475295
BLZF1	0.05209153293228847
F5	0.050859384898108616
SELP	0.09841696540691493
METTL18	0.02703259449849207
SCYL3	0.010822909950717214
PFN1P1	0.07867706025397071
PIGC	0.09681446206444458
TNFSF4	0.00828465792078953
RP11-296O14.2	0.024034412871602778
RP11-296O14.3	0.013319697040862982
ZBTB37	0.00618592360001175
RC3H1	0.007679524593219241
KIAA0040	0.011461808638395611
RFWD2	0.09678944694894187
RP11-195C7.1	0.032513915824943056
SEC16B	0.08220444294869951
RALGPS2	0.021998458221242956
TOR1AIP1	0.019600713121812344
LHX4	0.039357376554131795
KIAA1614	0.06360701170680805
MR1	0.07192563408095312
CACNA1E	0.00025567509007991257
ZNF648	0.026306388486304264
LINC01344	0.0026942118314624394
LINC00272	0.007494946556102709
RGSL1	0.0299341189042111
RNASEL	0.003935426738433123
LINC01686	4.946549673976784e-05
NPL	0.044335831870965646
LAMC1	0.046724482947667643
NMNAT2	0.04175853233365542
ARPC5	0.07787203603777301
GS1-115G20.1	0.08148472276156699
EDEM3	0.04591358702193754
FAM129A	0.021998458221242956
RNF2	0.04609279103358246
TRMT1L	0.019958188071106962
SWT1	0.0061487188723728685
CTA-253N17.1	0.09740823107253178
GS1-204I12.3	0.07090164548313663
TPR	0.09659374010465323
RP11-295K2.3	0.04797181656309613
RGS18	0.009335740982960717
RP11-142L4.2	0.012898091213334736
TROVE2	0.06940964390342223
NEK7	0.04863938038910358
PTPRC	0.013373008923839037
RP11-553K8.5	0.05082163904037201
LINC00862	0.08989352986846731
ZNF281	0.025513974928441832
DDX59	0.015112501114227699
CSRP1	0.06320934937494666
PTPN7	0.015602721674453054
LGR6	0.005616629724942778
KLHL12	0.0182579170181935
HNRNPA1P59	0.07119770652864905
LINC01136	0.07335538062801625
ATP2B4	0.01723272155844431
SOX13	0.08303642083382695
RP11-430C7.4	0.032504185528193515
LRRN2	0.01598890688925599
RP11-430C7.5	0.07857037528292389
DSTYK	0.07342047491813077
CDK18	0.01527605813489266
IKBKE	0.00994916598778511
C1orf147	0.00265350852650262
EIF2D	0.010351178830660833
PFKFB2	0.021600611526955867
RP11-357P18.3	0.0020159454005039246
CR2	0.09168028580208977
CR1	0.00243144961225787
RP11-78B10.2	0.016853432685252735
CD46	0.05163025586934345
LINC01717	0.022260485132491268
SLC30A1	0.07023871669129522
LPGAT1	0.055691046147262065
RP11-384C4.6	0.02642150859579575
RP11-338C15.3	0.06163748925778476
BATF3	0.002736899739169462
TATDN3	0.04267290196983907
LYPLAL1	0.008125715536188774
C1orf115	0.025424425946346692
MARC2	8.736073816199659e-05
MARC1	0.037807206881831104
RNU6ATAC35P	0.09193751370173328
LINC01352	0.03451116590178472
DUSP10	0.07277328884032613
BROX	0.06566351236315898
TLR5	0.026554844953575792
SUSD4	0.039262390857152565
RP11-504P24.3	0.07779257331594404
CNIH4	0.04175853233365542
LBR	0.04067364873942033
SRP9	0.06428704309854086
LEFTY1	0.02787348746866249
NDUFA3P3	0.055437323315836846
RP11-396C23.4	0.003949077776781711
SNAP47	0.07438276245092526
C1orf35	0.0037487981433881714
MRPL55	0.01501798550652872
GUK1	0.044151313091145526
TRIM11	0.00507325922674484
RNF187	0.0037487981433881714
RP5-1065P14.3	0.08989352986846731
RP4-613A2.1	0.08625660748274264
LINC01737	0.09086013510932711
FAM89A	0.012953818820890242
SPRTN	0.04714472345466094
EGLN1	0.03262042588063286
TSNAX	0.019347792287679914
DISC1	0.00045141434293174856
SIPA1L2	0.0045320606377310365
RP11-443B7.2	0.008054042523494186
RP11-443B7.1	0.012503807124821055
ARID4B	0.05030513560222645
GGPS1	0.08702632009907779
LYST	0.029306375116789542
ZBTB18	0.033780366193188915
EFCAB2	0.08757436274928547
AHCTF1	0.01738640067789773
ZNF695	0.007598957746247293
RP11-488L18.10	0.02180400022784615
OR2T12	0.08869666448499205
XX-CR54.1	0.060533433718237474
TSSC1	0.07048539219481643
ADI1	0.06543539643119699
LINC00299	0.07787203603777301
LINC01814	0.0855844991802061
KIDINS220	0.004687985545801685
MBOAT2	0.005543011023172625
EIF1P7	0.06161477046101924
ADAM17	0.04601140055404552
NOL10	0.039496057408943214
RP11-542H15.1	0.046598004020890385
SMC6	0.04553824851959706
TTC32	0.026554844953575792
WDR35	0.017208599486967527
PUM2	0.044335831870965646
SF3B6	0.07171171271570144
FAM228B	0.07596527731153911
ITSN2	0.08419139789576802
PTRHD1	0.024828203736167738
DNAJC27	0.07618482652992138
DNAJC27-AS1	0.05489456874325555
POMC	0.06566315625251291
ASXL2	0.018876205731392703
TMEM214	0.07459263169162014
OST4	0.05164127748598281
SLC5A6	0.08163666941847289
ATRAID	0.011485813309948663
MPV17	0.012212995464598496
EIF2B4	0.012173854590470021
ZNF513	0.02528505925994005
PPM1G	0.003518469199890706
PLB1	0.07697516944839661
AC097724.3	0.03540634423176667
LCLAT1	0.045433948731707315
CAPN13	0.07601368647005513
GALNT14	0.015177752205570747
AC009305.1	0.04387937897851191
SPAST	0.0326425063659209
SLC30A6	0.06935213668960268
NLRC4	0.023128826308391397
YIPF4	0.023090579898420636
STRN	0.05947587543956068
CEBPZOS	0.022593332826289485
CEBPZ	0.03833074618967591
NDUFAF7	0.021282310329667275
QPCT	0.07747005843548294
AC010878.3	0.08536361326215806
CYP1B1-AS1	0.028476801447257973
RP11-314C9.1	0.0029574122759959236
AC009229.6	0.0215790068223303
RP11-314C9.2	0.060970828905327984
ATL2	0.0398318374105638
RP11-173C1.1	0.08935921993145081
SLC8A1-AS1	0.0233749553664868
SLC8A1	0.01838714948525105
FTOP1	0.04499999550576312
PPM1B	0.07275337255864328
SLC3A1	0.045244497366217565
SRBD1	0.00012941546519691554
MCFD2	0.0666202986972484
AC073283.4	0.019493779967289272
EPCAM	0.012098714563253204
FBXO11	0.058250746462912915
AC079807.4	0.034989607033493665
FOXN2	0.03638952725209582
PPP1R21	0.024967184829124585
RP11-443F4.1	0.05795308460060868
AC092839.4	0.06320934937494666
RTN4	0.08701908508539086
EIF3FP3	0.009911616132602455
PAPOLG	0.05852159853177795
COMMD1	0.025355085905598738
B3GNT2	0.07470690245077398
UGP2	0.09512368072069241
LINC00309	0.0697631831541541
RP11-547M24.1	0.012503807124821055
AC008074.5	0.07172749009857066
LGALSL	0.004403019928451096
MEIS1	0.08677259389103319
C1D	0.040817653992840396
RP11-474G23.3	0.0390867550407793
GMCL1	0.04929723895671091
ASPRV1	0.05606553384778395
TGFA	0.004137478124375909
ZNF638	0.006506155346653157
DYSF	0.03746644373998038
DUSP11	0.07998602685676362
RP11-711M9.2	0.02058128944331864
MOB1A	0.05122790524556627
AC005041.11	0.06886970506952146
INO80B	0.0003311219387745068
WBP1	0.05209153293228847
MOGS	0.0031317246177867716
AUP1	0.007743267862933868
HTRA2	0.07048539219481643
RN7SL113P	0.07236693510315838
RN7SL251P	0.060150413956383986
RPSAP22	0.07451621184612525
USP39	0.06452681704168634
MRPL35	0.08124049435665134
CHMP3	0.07538192986161482
RNF103	0.04044375359121523
AC068279.3	0.039786117379833764
RGPD2	0.0823742961386446
KRCC1	0.02182086280082146
RN7SL210P	0.09296283731444473
GPAT2	2.6252465191237892e-05
STARD7-AS1	0.09656979347610702
CIAO1	0.0032555035604307438
MITD1	0.07078373311392443
CHST10	0.053380263731403865
PDCL3	0.058821766855485576
TBC1D8	0.03971970874018402
RNF149	0.04331205238069871
CREG2	0.0803278573994034
LINC01127	0.01906504328728846
IL1R1	0.02074570719242196
FAM183DP	0.03102433701495669
IL18R1	0.0012718887312423385
SDR42E1P5	0.0008351624188220524
IL18RAP	0.001962979045923589
AC007278.2	0.03249801760028534
AC007278.3	0.0031480593317959
SLC9A4	0.041258255585053964
C2orf49	0.0961078382542077
NCK2	0.08700656479246953
EEF1A1P12	0.057862392541795996
LIMS1	0.02552349090569449
LINC00116	0.008054042523494186
ACOXL-AS1	0.04360221904901527
RP11-181E10.3	0.0344602172674873
ZC3H8	0.07587606777563673
ZC3H6	0.010459876338511163
POLR1B	0.0803278573994034
NT5DC4	0.0018318205186416395
PAX8-AS1	0.015760279040930608
PAX8	0.007511194553314257
LINC01961	0.08453229167980666
RP11-395L14.18	0.07945348928306115
AC009404.2	0.009992071281541682
EPB41L5	0.000889522989287656
MTATP6P26	0.03847862104178343
MTND3P10	0.05130281390583225
MTND4LP14	0.06948623770862467
MTND5P28	0.09269990222816148
TMEM185B	0.0720703877265296
RALB	0.026304391483365268
INHBB	0.04444003267942056
CLASP1	0.06672006190170168
NIFK-AS1	0.03526456122411373
TSN	0.09577404764413691
BIN1	0.04073010936425121
IWS1	0.05270533525067658
MYO7B	0.08727487133812036
SMPD4	0.039450270769989505
MZT2B	0.027911799700034955
IMP4	0.06191300335227929
PTPN18	0.07124008131374693
AC093838.4	0.08712171426417578
CCNT2	0.07048539219481643
UBXN4	0.08872659084883852
RP11-1193F23.1	0.08425591635897343
RP11-231E19.1	0.07389970682388138
AC016910.1	0.0026664468783907823
GTDC1	0.011848781683342934
ORC4	0.047197542820847115
EPC2	0.022710086382680274
MMADHC	0.0299341189042111
NMI	0.03421853634174068
TNFAIP6	0.004284420370684023
STAM2	0.03234735725838382
PRPF40A	0.06382746366253748
ARL6IP6	0.015640120448278748
MARCH7	0.01928420630634237
RBMS1	0.01705684716054209
TANK	0.010006032919218973
GCA	0.010183409516179508
KCNH7	0.017208599486967527
FIGN	0.00011886361649262021
GALNT3	1.602259760032846e-05
AC009495.2	0.0012718887312423385
TTC21B-AS1	0.06079077125956331
SCN9A	0.04298469876769332
ABCB11	0.06757948420633206
DHRS9	0.060424174484603056
AC007556.3	0.06571627376705745
AC007969.5	0.010069104349566432
HAT1	0.09817658919448341
MAP3K20	0.0009666894804580488
SP3	0.03601349624252054
LINC01305	3.5240748524587777e-06
CIR1	0.04848098581609819
SCRN3	0.00577803415065347
GPR155	0.038818430219419595
LNPK	0.05568825364572153
AC016739.2	0.03130792186789664
AC079305.11	0.0823742961386446
NFE2L2	0.03982701892459603
TTN	0.05063769288872389
RP11-65L3.4	0.046629837692813515
RP11-65L3.2	0.006695473332106201
RP11-171I2.4	0.03945641887467388
SESTD1	0.05131062216874666
CWC22	0.02512093609358903
UBE2E3	0.057810058144908166
SSFA2	0.01224518445782613
RP11-363K21.1	0.059549587792475295
CALCRL	0.01402918658282702
SLC40A1	0.04611326696383055
ASNSD1	0.006783368315298022
HIBCH	0.05882733423192039
RN7SKP179	0.0677498366401922
MYO1B	0.017124052024494067
NABP1	0.006279846425706891
AC098872.3	0.03895343752475073
SDPR	0.07466276497656915
LINC01821	0.06783780438507321
STK17B	0.03918174346329302
HECW2	0.01402918658282702
C2orf66	0.06751310672670327
SF3B1	0.05967698648448192
COQ10B	0.050784313287028496
TYW5	0.02462596338304549
KCTD18	0.032513915824943056
ORC2	0.006279846425706891
FAM126B	0.0045025071148757
RPL17P10	0.06672006190170168
CFLAR	0.009298702350852844
CDK15	0.04458334348030848
CYP20A1	0.08885787612304927
GPR1	0.002863773371950909
ADAM23	0.03568330670634449
AC010731.6	0.07864876550255608
KLF7	0.06155472305212512
AC007879.3	0.07451621184612525
AC007879.5	0.04102087667382365
CREB1	0.0029574122759959236
IDH1	0.07596527731153911
KANSL1L	0.004143052584664677
MREG	0.09092061815699179
TMEM169	0.09710945847596432
RP11-566E18.1	0.09577404764413691
SMARCAL1	0.09176639985631219
RPL37A	0.04667199355173781
CXCR2	0.03831342226027227
CXCR1	0.09284933570897974
AAMP	0.0009666894804580488
CNOT9	0.011147844243893897
NHEJ1	0.03403568295717686
DNPEP	0.03138905489172454
STK11IP	0.007476101696565478
SLC4A3	0.017562206188152695
AC009310.1	0.06850644936664538
PAX3	0.002636403739377322
ACSL3	0.010317781081221868
FAM124B	0.0719293576393908
CUL3	0.08088291381151118
MFF	0.045433948731707315
TM4SF20	0.018427847328093556
AGFG1	0.04420514838931237
PID1	0.021818231588861585
AC009950.2	0.0080202544122856
RP11-98F19.1	0.043766386856265944
SP110	0.05422391574788821
SP100	0.001455910091736286
RN7SL834P	0.062020509988374474
LINC01907	0.009593259951134537
CAB39	0.016021286927871695
COPS7B	0.06070391064056286
RP11-690I21.2	0.04059444416961367
DIS3L2	0.0856732122500122
AC068134.10	0.025943364747694788
DGKD	0.08903986785752423
ARL4C	0.07986042176327372
AGAP1	0.02288161691654613
AGAP1-IT1	0.09428971154576035
RAMP1	0.07828216094100932
ILKAP	0.0281301050777746
HDAC4	0.006724622064862349
NDUFA10	0.0006156128158532092
COPS9	0.09874895185694431
ANKMY1	0.09787641399478304
CAPN10	0.005567273484629335
GPR35	0.013649201121084021
CROCC2	0.009384510366291177
AC104809.4	0.0026953972459157136
AC104809.2	0.09244544500070828
SNED1	0.07641873075961003
HDLBP	0.014341455205630016
STK25	0.0008050628083266731
BOK	0.0618325863236069
THAP4	0.004679422880600458
ATG4B	0.008584658655306736
IL5RA	0.057862392541795996
CRBN	0.06745078083318456
LRRN1	5.652200826436998e-05
SRGAP3	0.04083423483237398
THUMPD3-AS1	0.07788273458457025
BRPF1	0.08677259389103319
IL17RE	0.023090579898420636
RP11-169K17.4	0.0726292408162309
SYN2	0.07389970682388138
AC091492.2	0.03411423088735464
MKRN2	0.02546038289019551
CRIP1P1	0.02825305615546545
TMEM40	0.08989352986846731
FBLN2	0.0839755069942702
TMEM43	0.011660964614676129
AC093495.4	0.020878797187626537
XPC	0.0772218782272675
C3orf20	0.02346075320081792
SH3BP5-AS1	0.0666202986972484
BTD	0.03697230629374762
ANKRD28	2.8002284912609903e-06
RAB5A	0.02290893788542042
HMGB1P5	0.05504176769268523
RPL15	0.08045628121663355
THRB	0.020089334067288665
THRB-AS1	0.014831647387915122
AZI2	0.09639314854636993
CMTM6	0.018185390160484666
AC104306.4	0.04870258402343502
CCR4	0.0748715685720536
CRTAP	0.04553687435837441
RP11-640L9.2	0.08602310151823178
LRRFIP2	0.026554844953575792
GOLGA4	0.07642798786663849
RP11-815I22.1	0.063525552287032
SCN5A	0.051485516871928205
RPSA	0.07301054635911217
EIF1B-AS1	0.06731630527262353
HHATL-AS1	0.05262227925106461
RP11-188P20.3	0.023156806040087023
TCAIM	0.008420530770503991
LINC00694	0.06020514330139387
LINC01988	0.0602393912714864
ZNF445	0.04056148231684039
ZKSCAN7	0.0006253926289649451
ZNF660	0.018194554852832653
ZNF197	0.01655383594338836
ZNF502	0.0010141171802367885
FLT1P1	0.002023194611481753
CCR2	0.09932070862646035
CCDC12	0.028447764173388047
PTPN23	0.02965181752052236
DHX30	0.0098631563678016
MAP4	0.08989352986846731
FCF1P2	0.09275612686047376
SPINK8	0.030629141558666858
CELSR3	0.005750563231071594
P4HTM	0.0384925001522773
WDR6	0.05828141852733379
DALRD3	0.09694524608800151
NDUFAF3	0.005454992102088241
QRICH1	0.012807076408039955
QARS	0.004501736044175851
C3orf62	0.08176896809028766
UBA7	0.024666391496529043
CTD-2330K9.3	0.08492947405557594
RBM5	0.04659692888346653
SEMA3B-AS1	0.09066222028254203
SEMA3B	0.03623145562779497
NAT6	0.09084597359139131
RASSF1	0.04725671133890917
LINC02019	0.07466570007817412
PARP3	0.024460034087459455
ABHD14B	0.05662957086632553
NISCH	0.08747782262921026
RPS15P5	0.024601630951442428
ERC2-IT1	0.0806581419700153
FAM208A	0.07278221066144284
SLMAP	0.0031317246177867716
FLNB	0.09368113414461758
PXK	0.006279846425706891
C3orf14	0.04446056896427606
PSMD6-AS2	0.02639841374281869
EOGT	0.03609586429599916
TMF1	0.05489709703056528
UBA3	0.025956594809511437
ARL6IP5	0.063525552287032
FOXP1-IT1	0.06112871848709488
RP11-154H23.4	0.0383430254624809
EIF4E3	0.006279846425706891
PROK2	0.005446585860888234
RN7SL271P	0.016839181685395898
RP11-447M4.1	0.04410732668747676
FTH1P23	0.06659048899367659
PPP4R2	0.013912003889134321
CHMP2B	0.09999870299068973
PROS1	0.06963506294415212
ARL13B	0.09092061815699179
HMGN1P7	0.0896589358815226
NSUN3	0.007984726344587162
ST3GAL6	0.03727778759715717
PDLIM1P4	0.07292343555359161
DCBLD2	0.03588405662222983
FILIP1L	0.04136808930622159
TBC1D23	0.07119692871344498
TMEM45A	7.982836152298846e-05
NFKBIZ	0.0080202544122856
RP11-861A13.3	0.08364761200051295
CD47	0.0894888262043027
IFT57	0.04547914229146566
BTLA	0.0625408855314391
ATG3	0.07718271488254229
SLC35A5	0.03982701892459603
ATP6V1A	0.03172446097308753
RP11-274J15.2	0.04247756986819945
ZBTB20-AS1	0.06740866977014069
B4GALT4	0.059549587792475295
GSK3B	0.08265492391477917
RP11-18H7.1	0.023128826308391397
RN7SL397P	0.0726292408162309
GTF2E1	0.06061644397016747
SLC15A2	0.03152258675658568
WDR5B	0.05012626900830891
PARP9	0.0024680682876894082
DTX3L	0.03858589759926437
HSPBAP1	0.09803433051884727
DIRC2	0.09194691116628449
LINC02035	0.01621736279378223
SEMA5B	0.08671493172439673
UMPS	0.09348300588794485
ZNF148	0.022237370842092444
OSBPL11	0.044151313091145526
SLC41A3	0.01723272155844431
RP11-124N2.1	0.08854160701640401
ZXDC	0.0966028458050176
RP11-88I21.1	0.08625660748274264
GATA2	0.04510181040460147
KIAA1257	0.026141092546928122
RP11-723O4.7	0.07142513564556417
RP11-723O4.6	0.010069104349566432
ISY1	0.09629543581697649
CNBP	0.039664951459136476
TMCC1	0.08985240326501269
TMCC1-AS1	0.007494143619708625
RP11-65E22.2	0.0392749915666311
TOPBP1	0.049019505239482605
CEP63	0.09794067176786424
PCCB	0.07066286424927401
STAG1	0.0080347020875524
RP11-102M11.2	0.07415576194852733
RP11-731C17.2	0.0204824215623024
NCK1	0.029267321574012864
ARMC8	0.009746798330968648
PIK3CB	0.06849982961866831
COPB2	0.05967677982300389
RP11-319G6.1	0.04437977794940145
PXYLP1	0.008143690794690746
RASA2	0.011486888827883701
XRN1	0.014938735139952098
PCOLCE2	0.0980588106660524
PAQR9	0.04175853233365542
U2SURP	0.030821161067628427
PLSCR2	0.007125764958112477
RP11-329N15.3	0.0678420692655126
PLSCR1	0.006666927177936136
CPA3	0.008580047327515751
UBQLN4P1	0.039189632012151254
GYG1	0.01909186282673652
