	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LINC01786	9.893194945795845	-0.21501525803973956	0.08487901558032737	-2.5331968870003507	0.01130274471665769	0.05576892860395392
SCNN1D	186.53090323051592	-0.22170846218451243	0.07580681210860277	-2.9246509122014954	0.003448428269594437	0.025738706406097645
ACAP3	2007.0967718394	-0.18082150581088652	0.042390820890857286	-4.265581604952724	1.9938211907822342e-05	0.0008562314491422196
PUSL1	269.3528397061557	-0.11538076754255393	0.0406916114135208	-2.835492710524995	0.004575505922607128	0.03110282832580336
INTS11	3026.707549591381	-0.13998425614541893	0.0331847158246191	-4.218335238584967	2.461127135503659e-05	0.0010010959559526554
RP5-890O3.9	34.00486753542531	-0.1881824840979102	0.05171747254523815	-3.638663585760186	0.000274056522450865	0.004886039015979735
DVL1	970.4236101716477	-0.15016074121384584	0.03914514016469856	-3.8359995795662565	0.00012505462114956615	0.0029398043738971718
MXRA8	88.72840485610415	-0.22895083610548414	0.07337444263131669	-3.120307669741213	0.0018066223286991954	0.0168239942832881
ATAD3C	21.479956028390895	-0.1967806116383903	0.0853011622213169	-2.3068925031506136	0.021060813572706363	0.08360250135918701
ATAD3B	660.8354294361257	-0.21704601071752286	0.06413912744830104	-3.383987580630427	0.0007144123461009623	0.009113708997022829
ATAD3A	432.1992103069265	-0.14245697950306352	0.052782405799268094	-2.698948207189125	0.006955900086696871	0.04078930880253823
RP11-345P4.9	127.97605352454357	-0.11953123797142018	0.03831734585990878	-3.1195072437541933	0.0018115380656470938	0.016844893470228654
MIB2	1980.9034847572186	-0.21483211159709092	0.05403431225178454	-3.9758461363593254	7.01294586267786e-05	0.0020005747713639096
MMP23B	30.909367749694976	-0.42939661471444707	0.13233304958366615	-3.2448176480884743	0.0011752585745685433	0.012663199000439128
SLC35E2B	2565.1992469747574	0.1236060242526348	0.04080256449555589	3.02936900610984	0.002450651535451002	0.020473830200127212
NADK	15579.52869269275	0.16963855483916043	0.0613181481985307	2.7665309508356173	0.005665620648616932	0.035978197932719815
RP5-892K4.1	32.38485373297281	0.28936626325755876	0.09808853240492203	2.95005191904613	0.003177205333599452	0.02439296840847399
PRKCZ-AS1	221.7984004331321	0.15639914946292352	0.07035835237231136	2.2228938596417787	0.02622295792892166	0.09693846825651997
PEX10	133.3217752526246	-0.13316795118083416	0.03774001491806167	-3.5285611696221784	0.0004178253691710027	0.006399240756700469
PLCH2	897.1616299037192	-0.42102767478388464	0.10801476145590885	-3.897871634477907	9.704182963533424e-05	0.00250493812562473
RP3-395M20.2	3.029467025194274	-0.4059597939275937	0.12400685304563273	-3.273688380578502	0.0010615360659556657	0.011878670656206099
PANK4	1178.5120873310245	-0.14678768769439196	0.03424969678920774	-4.285809845202646	1.8207468149966323e-05	0.0008080663885069627
RP3-395M20.12	234.44492306792242	-0.265477274280708	0.055162902468572465	-4.812605254626627	1.4897536598782282e-06	0.00013911659154006872
RP3-395M20.8	491.1238169396847	-0.18079412598856004	0.06257077879329365	-2.8894338455627087	0.0038593620263370596	0.0277142818354436
TNFRSF14	6132.064472827908	-0.15526852607463187	0.035261775226698745	-4.403309960329763	1.06611674857017e-05	0.0005656815467913322
RP3-395M20.9	22.959334715812012	-0.22152869836798633	0.06613513881247099	-3.349636854866827	0.0008091757103877152	0.009928411324217613
FAM213B	436.09744287632725	-0.3607750885473075	0.0463480711995928	-7.78403672924532	7.024634985688168e-15	3.646243685940791e-12
MMEL1	12.576822410375756	-0.6763208558575309	0.08372719241174634	-8.077672693616414	6.601450540004757e-16	3.5027296565265237e-13
SMIM1	1050.5745769188782	-0.5157798066117082	0.13267022023984643	-3.887683352596093	0.00010120553361724877	0.002588199108907599
CEP104	544.4346110099227	-0.14125602068758114	0.028661306540898483	-4.928457133871922	8.288151364122295e-07	8.638105937057452e-05
C1orf174	535.8026326627667	-0.1569573738476997	0.03370289895409036	-4.65708822441372	3.2071303238037154e-06	0.0002423311732324725
AJAP1	5.584402452924086	-0.6634759060462254	0.14807168733466317	-4.480774940766866	7.437250456986654e-06	0.00043883479239588576
CHD5	17.330940167487654	-0.29171608518044817	0.1029740714476249	-2.8329081396846783	0.004612663931625831	0.03126215631434288
RPL22	4425.396732671376	-0.15891732004488332	0.052990878351124475	-2.998956140939511	0.002709063014330611	0.021882374016634645
RNF207	46.634093402122744	-0.2938859068549901	0.11008921599819725	-2.6695249320315138	0.007595863360351365	0.04296534812004666
ACOT7	299.81843848480634	-0.228098541574732	0.07784379882693317	-2.9302082505229974	0.003387349095106401	0.025409907113997973
ESPN	452.17773870599706	-0.8841640597504	0.12517428501560868	-7.063464030492753	1.624022541183203e-12	6.685652795832989e-10
TNFRSF25	697.9206412284444	-0.2546382537059107	0.0810228765505343	-3.1427945358998923	0.0016734325897966849	0.015982619978630177
PLEKHG5	72.74154405051746	-0.26329743781707937	0.08468388090868266	-3.1091801059637483	0.001876073180197464	0.017189178558547524
ZBTB48	2148.718156587649	-0.08232786786541418	0.0369329682903143	-2.2291159274897687	0.02580619242784	0.09594743952032635
KLHL21	5104.207268671935	0.16299398414802083	0.0652067746993416	2.499648002827329	0.01243167590680033	0.059295071040086196
PHF13	640.3606132451787	-0.13529393087003883	0.05979537377158203	-2.262615355275825	0.023659410732157795	0.09035760557449324
DNAJC11	339.5920140176946	-0.10255453608816273	0.038095361030242844	-2.6920478849576344	0.0071014748234756965	0.041296131115472284
CAMTA1	329.4606044387306	-0.14990614507111283	0.03290984189038977	-4.555055158587315	5.237183404200189e-06	0.0003483237552704399
PER3	61.20787286522173	-0.3726724379899439	0.07464299482349986	-4.992731586817515	5.953126482447658e-07	6.680483430578055e-05
TNFRSF9	295.17036920088384	-0.19146483640167425	0.07462595959874578	-2.5656599584267474	0.01029797271741155	0.0522714061593613
PARK7	2988.050319238045	-0.0933049724425509	0.03415362350621616	-2.731920155574967	0.006296639847331741	0.03835554987337789
SLC45A1	18.941712057250044	-0.20104214312302035	0.08120781696945815	-2.4756501359792895	0.013299383182267687	0.062045598328058914
RERE	5098.357464111475	0.17001683129659637	0.059847746999474136	2.8408225843170043	0.004499733802194785	0.030723518442952496
RP5-1115A15.1	81.30523075584925	0.2486253765830099	0.09996431959537029	2.4871411878696428	0.012877428162020036	0.06074167369114034
GPR157	99.00867046808133	0.2136819300604587	0.05846347883468588	3.6549643353361834	0.00025721773246430304	0.004684658884859011
H6PD	3068.738988607168	0.14982574284126424	0.058275631273473	2.5709844675584788	0.01014098751203274	0.05174720959065104
PIK3CD	16710.24565950728	0.16168896120994192	0.05674417836599243	2.8494369971677016	0.004379667895620613	0.03013640643911624
CLSTN1	1652.6062165010112	-0.14880513043434979	0.06378987356042083	-2.33273907171808	0.019661844196862403	0.07998359629998167
CTNNBIP1	476.0232184830096	-0.06795957504491765	0.030557111945990836	-2.224018263409023	0.026147215490558765	0.09671836781844641
KIF1B	3289.8453726346784	0.2506701990346681	0.06413273894385313	3.9086152121792987	9.282667646704535e-05	0.002422319731151521
CORT	18.38523145664123	-0.30184134229414294	0.0992164554187794	-3.0422508143443645	0.0023481614640519354	0.01989604374633359
PEX14	531.37066619592	-0.16754072123420383	0.04649906925760228	-3.6030983825942298	0.00031444644261905574	0.005294172381503079
CASZ1	245.91673930375399	-0.20484213836879697	0.05602145204599246	-3.6564946263910794	0.0002556877686819992	0.004660348742610758
RP4-734G22.3	113.52965806956617	-0.32226860164350807	0.082518453092083	-3.9054125418939445	9.406477434329636e-05	0.0024466063365957374
C1orf127	11.737704293631449	-0.26573381591075246	0.09678629661620759	-2.745572722598143	0.006040537810156344	0.037355586970500655
MASP2	39.71600516508751	0.2618184511436663	0.11355122276894496	2.3057299142997065	0.021125728510288263	0.08369703116164035
SRM	861.4244258914287	-0.11916782675194687	0.046364063427459884	-2.5702627842012604	0.010162139678535773	0.05179112254096022
EXOSC10	1255.9544800854812	-0.11617356245869064	0.04277488353020198	-2.7159293695484688	0.00660900159070916	0.03935240174098818
ANGPTL7	7.439293830281413	-0.39196836747756486	0.14378150951219446	-2.7261389090112527	0.006408002402247909	0.03875732331559549
DISP3	11.78031899232565	-0.32269695930241227	0.10920861361814801	-2.9548672820876036	0.0031280358108082902	0.02414746558508553
C1orf167	3.544139375154521	0.44826254293366885	0.13397404906361027	3.3458908353276375	0.0008201867936336896	0.01000694944894819
MTHFR	1302.560692609892	-0.08646741964296005	0.032069656932156514	-2.696237749779557	0.007012759359418651	0.04100876692664804
CLCN6	627.928714875674	-0.11682491808223093	0.04348655282536837	-2.6864607675704244	0.007221342818702546	0.04171636293038417
NPPA	74.47871973095178	-0.4548164783863766	0.11931654436219295	-3.811847559092495	0.00013793193690346344	0.0031455595582082106
TNFRSF8	528.3194756271178	-0.15587279897673925	0.059257609622516076	-2.630426707551706	0.00852777554840542	0.04635048867955297
TNFRSF1B	55482.230956612046	-0.19029639509490154	0.05228248562179689	-3.6397732975336163	0.000272878179185412	0.004876880452402757
DHRS3	966.0211250969195	-0.21262501601694464	0.0925508634433532	-2.2973855467818964	0.02159678553681867	0.08500930568127586
PRDM2	2059.2769015105714	0.1141419480661783	0.04390334784002014	2.59984610927853	0.009326557469762086	0.04921330667525068
RP3-467K16.4	73.89598519183534	0.24063814626273786	0.08645299090409002	2.7834565784970833	0.005378306097739742	0.03467003636493839
CTRC	83.18995817102586	0.30160830943697287	0.07560742007143494	3.9891363724884292	6.63142908859106e-05	0.0019279244120485111
CELA2B	4.469060645904489	0.4130491408672262	0.1462019879358291	2.8251951064339944	0.004725183401414016	0.031687884453453566
PLEKHM2	4279.327709988326	-0.11696565387480926	0.029859419277049628	-3.9172112755960633	8.957923542040071e-05	0.002366021464748792
ZBTB17	1984.764328070823	-0.14961923238375865	0.030840473112154702	-4.851392254575739	1.2259780575787602e-06	0.00011803499226132282
ANO7L1	31.246453267579785	-0.5413421314899498	0.09570340880233853	-5.6564561102312805	1.5453047142244712e-08	3.4808717605224246e-06
FBXO42	1370.1334172173608	-0.07676381887511959	0.02608162388933453	-2.9432147016931083	0.003248230607694199	0.024749168191377246
SZRD1	3296.9916621579796	-0.08606115404731679	0.027836913734030515	-3.091619813517882	0.0019906762815658364	0.01791608653409253
EIF1AXP1	1.7516028089292683	0.5893480697063681	0.1268349658772055	4.646574118030999	3.374929094587326e-06	0.0002479482522814202
MST1L	17.610026755293536	-0.28924599106768184	0.08552258268757927	-3.382100750211441	0.0007193375710939446	0.009160332365338728
CROCC	845.196167834204	-0.21022190040792568	0.06785270225559323	-3.0982097015980923	0.0019469361013512716	0.01760870958028951
ATP13A2	1271.5359492505258	-0.12267134562321975	0.038598061788481484	-3.178173720107044	0.0014820592246503723	0.014701756587859136
ARHGEF10L	393.71715657571355	-0.22415735878155016	0.06638029386790742	-3.3768660203223733	0.000733167528899804	0.009272161592977024
AKR7A3	30.150528368393452	-0.3816671141514326	0.10571068913643315	-3.610487428180914	0.0003056221160396608	0.005216110982615426
AKR7A2	608.0350090964198	-0.1044737928445268	0.04147763969693946	-2.518797926012065	0.011775621573260295	0.057142229491351504
NBL1	171.66111651002953	-0.32919241888968864	0.07831092803939589	-4.203658762977266	2.626347863013901e-05	0.001052169596060116
TMCO4	516.309129839748	-0.1351039893196912	0.05504574370896828	-2.4543948399352717	0.014112193392375946	0.06457586079527797
PLA2G2A	134.1500133261975	0.45036507144768845	0.1428285925210924	3.1531856717077167	0.0016149905038085562	0.015567673903688696
PLA2G2C	6.452674314528972	0.3592723470384519	0.1332529575884214	2.6961679015646083	0.007014230118044876	0.04100876692664804
CAMK2N1	98.31727411191602	-0.3237401942702966	0.10245370847399132	-3.159867993968033	0.0015784063441192232	0.01535762358538496
DDOST	4309.473696497583	-0.13466778851736222	0.029226383851342175	-4.607747205481865	4.0705512119930875e-06	0.0002825364863045318
KIF17	10.408410706918847	-0.290285505256673	0.10029621299199108	-2.8942818138093918	0.003800269173599287	0.027505009717499296
RP5-1071N3.1	63.593866153425274	0.13242282938595304	0.055294833988189344	2.3948499314463585	0.016627168983393437	0.07197369721111042
RP11-63N8.3	56.386019763053426	0.24341008176299417	0.10142691156243043	2.3998569808878587	0.016401478640338987	0.07141616067043424
LDLRAD2	9.374741662404393	-0.3431808742812637	0.09128953418125385	-3.759257590249982	0.0001704183078995729	0.0036105394300959205
ZBTB40-IT1	2.0449721764999733	-0.33651805564234877	0.1491786090870246	-2.255806363270475	0.024082760661580365	0.0914187720694045
LUZP1	307.6930026562705	-0.18398675013824273	0.057144334846138525	-3.219684866988621	0.0012833158561340208	0.01344525348701712
LINC01355	54.39483563329395	0.17723203868081702	0.07675268660898966	2.309131399969245	0.020936290814173482	0.0833754304072657
ID3	291.1439108009882	-0.20226113313700397	0.08407072999712084	-2.40584485401674	0.016135115365765083	0.0706506784500959
ELOA	730.8681369702764	-0.09057374503874589	0.024108216169708777	-3.7569658576626246	0.0001719859506420942	0.0036340783570630824
NIPAL3	587.219832694932	-0.16694015010179825	0.05064086284264306	-3.2965502704907164	0.0009788009611183725	0.011306642742439952
NCMAP	4.621178294908574	-0.3980407773499638	0.14952197647402668	-2.6620887894637155	0.0077657390833737044	0.043521027760726666
RUNX3	8142.473742327972	-0.4032177416946397	0.11432304174782412	-3.5270032666211315	0.00042029157799246904	0.006416433508776333
RP4-799D16.1	2.561749887139035	0.47670113143887105	0.16100074697963593	2.9608628554944922	0.0030677851173833625	0.02379775998952649
SYF2	1881.748145213812	0.11285325283814532	0.047490072772232925	2.376354598979047	0.017484650912366183	0.07413480952270611
RP3-465N24.5	13.207276720431393	0.2587707844622816	0.11732751408739862	2.2055422078534814	0.027416069382223164	0.09977343219621132
TMEM50A	4247.385165684062	0.11742798451256002	0.048011448760357525	2.445832974103437	0.014451793328479175	0.06556440609996149
RP11-70P17.1	7.619825851421198	-0.24891582596580444	0.10522689866644605	-2.365515178346474	0.018005005237637685	0.07567426686482574
RP1-187B23.1	18.525045122113664	-0.5668515279667802	0.15129942679547742	-3.7465543655564217	0.00017928016311806965	0.003714254539302094
MTFR1L	935.2187576873108	-0.06612261613140072	0.01934695908789937	-3.417726570412679	0.0006314651101156356	0.008432365375691203
PAQR7	206.25765396979205	-0.13275992987912189	0.053933229348822526	-2.4615609241655823	0.01383339010985784	0.06376349517904491
EXTL1	4.161637737640872	-0.37179965751759436	0.15813074201491187	-2.3512168018697674	0.018712127591852725	0.07743318379734272
TRIM63	34.10996076963669	0.5007212686066302	0.15579516807952054	3.2139717475130776	0.0013091255370983712	0.013596342083209138
SH3BGRL3	41503.06679667089	-0.15862296863293257	0.050484669819627855	-3.142002695068866	0.0016779649134267386	0.016014229592554285
UBXN11	3466.937328662245	-0.1988707598404153	0.043590811374630396	-4.562217439158679	5.0616187317931805e-06	0.0003385329704734616
CD52	4418.097968447828	-0.18181531653138402	0.06735808043358421	-2.6992354200273847	0.006949899340081092	0.040785010845017254
RP3-476K8.3	8.208550807940622	0.18697998350749584	0.07220659418547738	2.589513958063159	0.009611152634585339	0.05015187076694397
ARID1A	3191.123798413745	0.1408760275687621	0.04268415460759968	3.30042913731926	0.0009653708939321787	0.011206749313919021
ZDHHC18	22262.96491152144	0.14091248153499597	0.06121781093710251	2.3018216329194585	0.021345233067236336	0.08429707739768474
NR0B2	5.29896582653978	-0.4601318870233019	0.19463292966908122	-2.3641009145041756	0.018073888615846655	0.07588363609646044
KDF1	14.872724958620273	0.22985614397760984	0.08865198811999461	2.59279175630544	0.009520039511157968	0.049892445875311414
FAM46B	13.393637696921182	0.2363728667813774	0.10300241725368481	2.2948283456223586	0.021742963513768282	0.08532228578919895
SLC9A1	2492.9233090582866	0.12937179787228154	0.05473464474624496	2.363618115584043	0.0180974566908238	0.07591584213049891
SYTL1	5803.748066474046	-0.11927665318736251	0.041406376868954015	-2.8806348733398757	0.0039687510819683925	0.02826758727260002
FCN3	34.477100133162836	-0.36492457869280753	0.14968081590680477	-2.4380183691677577	0.014768023542041073	0.06651878855184205
SMPDL3B	62.13664918581981	0.24390954045546367	0.07440948588571733	3.2779361065613997	0.0010456906207330751	0.011786877530259183
SNORA44	14.571968554653667	-0.3003005583823782	0.10599999978804557	-2.833024141347643	0.004610990352367204	0.03126215631434288
TAF12	1044.249306353229	0.13128994925481233	0.050296062681746405	2.610342485167541	0.00904516162312097	0.048240188535907835
MATN1-AS1	114.93538696300251	-0.18646089551613723	0.08438085656102229	-2.209753528411898	0.027122272543304526	0.09902743321416435
SERINC2	785.8944898821815	-0.29738058269187245	0.08390807071362072	-3.5441237077996472	0.00039392036692646813	0.006159552456518192
LINC01226	3.4350927291590705	-0.33196421992391195	0.13980063645665022	-2.3745544250569157	0.017570145730504916	0.0744074041528177
TMEM39B	413.34319457683887	-0.13428161839994462	0.026925057703175517	-4.987236049046891	6.124921424808609e-07	6.833866769166129e-05
KPNA6	2164.1528906149797	-0.05740481508486599	0.021038357817287256	-2.728578702929767	0.006360790970038004	0.038547361926801374
CCDC28B	168.8581879726133	-0.1307067481603989	0.054532951335931314	-2.3968397997611635	0.016537152134617778	0.07180345316078231
EIF3I	3128.777397075724	-0.14663257292075266	0.03674951321455841	-3.9900548359553185	6.605802128031988e-05	0.0019279244120485111
MARCKSL1	1337.020462149615	-0.28917891109346705	0.06623568780744625	-4.365907876342116	1.265958306322579e-05	0.000643092696521084
YARS	2583.372315821284	-0.1318030349093638	0.05845146325747438	-2.254914206831421	0.024138714401277076	0.0915583929720878
S100PBP	762.5862615929451	0.07399961284428477	0.027311328400551678	2.7094842022693415	0.006738791423330354	0.039876610363038134
RP4-803A2.1	6.783021653803226	-0.19432168789854512	0.08571304103045345	-2.2671192803613573	0.023382940075550408	0.08954522216261701
AK2	2593.7292572417455	-0.09545632303951376	0.0330121125604703	-2.891554512443292	0.003833410832582719	0.02761189857853792
TRIM62	403.8939874832703	-0.1484812389984008	0.03757187032828926	-3.951925674740865	7.752482134037443e-05	0.0021325033313396753
ZNF362	598.6485398794986	-0.09908870940372304	0.038534201878569714	-2.5714483386985605	0.0101274123934641	0.051713478554050965
RP11-415J8.7	2.4709969307720527	-0.3605709329873261	0.1311620329930569	-2.749049589727029	0.005976834306216151	0.03712509696397582
RP11-415J8.3	1723.9437996291063	0.2795904066898771	0.08874589679340317	3.1504600977862918	0.001630135223902827	0.01565677342764594
PHC2	38861.28719917775	0.17832277209347053	0.07980135451258547	2.2345832747155594	0.025444719881566737	0.09501181603316322
RN7SKP16	91.79338710884441	0.23681198605996154	0.09575709683781077	2.47304893193518	0.01339657990499566	0.062389338480901384
DLGAP3	55.60655532211169	-0.2033754794454473	0.061839917515417245	-3.288741117656633	0.0010063654300448014	0.011497123145062068
SFPQ	6059.884616016702	-0.05111504390021263	0.020920858306746972	-2.443257496932047	0.014555347971317774	0.06589080636974089
NCDN	649.8114768657089	-0.16274077082047098	0.04157506977792491	-3.9143835882839895	9.063545184414042e-05	0.0023860007537844993
TFAP2E	64.85939503278641	-0.1228767373142603	0.0411003326541168	-2.9896774400426267	0.002792721890152677	0.022309073459744217
PSMB2	1758.2688119337186	-0.12319608990080774	0.030675202819334346	-4.016145895640442	5.915764123601984e-05	0.001792521573340667
C1orf216	241.09369292173014	-0.08586149345277856	0.03737199932295013	-2.297481938571348	0.02159129223898024	0.08500930568127586
AGO4	4529.846894396776	0.2971871625820891	0.07343584141131902	4.046895315293306	5.1901438320902445e-05	0.001656426045592675
AGO1	2184.551573643287	0.11451636533800118	0.04149055171018954	2.760058871665412	0.005779094626064972	0.03642751910943858
AGO3	601.5598828286762	0.09929449145306785	0.0322036809007812	3.0833273922627633	0.002046998198336407	0.018250999246332486
LSM10	1970.8161304077337	-0.10836029588495838	0.046673614138061675	-2.321660704577666	0.02025121241619912	0.08160982259267281
OSCP1	17.93374315899607	0.24061017465161025	0.08566917806682943	2.8085967448399387	0.004975792962828223	0.03289230580660285
CSF3R	297780.73553197	0.18998393941570313	0.07461686535361475	2.5461259799022034	0.010892586974796423	0.054321712036692685
ZC3H12A	3392.1387374274896	-0.16524829096973093	0.06101437755831066	-2.7083500247430248	0.006761866567862842	0.03997977345039548
MEAF6	970.5068986216335	-0.08739076750229108	0.03163454134360169	-2.762510970305769	0.00573586341881905	0.036279526053282767
MTF1	2574.1901539976184	0.13375620012040296	0.051548067328811044	2.5947859357598935	0.009464984810345111	0.049669327981672576
INPP5B	639.6843032068386	-0.10806436804523582	0.037562359133672805	-2.8769324008821755	0.004015616090131616	0.028451690911206962
FHL3	2812.5225737861347	-0.1422418488380231	0.062262652152082335	-2.2845452919445854	0.02233950394563172	0.08680233290640335
MACF1	5345.352328319112	0.11295397948999909	0.04567278533191222	2.4731134453294783	0.013394161722480449	0.062389338480901384
BMP8A	11.89095257827459	-0.17889290848137523	0.07196689788432109	-2.4857665640795856	0.012927273151635726	0.06088057219755547
RP11-69E11.4	188.50816798636956	-0.1832796579111527	0.06714821997348144	-2.72947902391954	0.00634344845590076	0.03852047781829665
PPIEL	6.814311959745588	-0.23579748200841577	0.0845399102242801	-2.7891853845462693	0.005284080864934528	0.03429410133515676
PABPC4	2665.290517458504	-0.1898703203813138	0.04671683088089902	-4.064280834146768	4.818078692481307e-05	0.0015832591153800816
MFSD2A	223.8555151952691	-0.2218764239572683	0.09019999684792263	-2.4598274025591422	0.013900384683560987	0.06393748508753336
RP3-342P20.2	10.958017736160604	-0.26704808048726986	0.11007322455967	-2.4260948251089416	0.015262281880446663	0.06792497753204566
CAP1	57885.03873655216	0.14406972131417567	0.061955965270233324	2.325356738221845	0.02005289273158549	0.08099192368995133
PPT1	14716.184282806278	0.26831708954742656	0.07469667774564283	3.592088666394241	0.0003280381904677019	0.005427755851215057
RP1-39G22.7	65.90417549824048	0.21220564200285527	0.06102887131847599	3.47713528725562	0.0005068020256689536	0.007298499376898435
SMAP2	62345.83219345456	0.2148074337759374	0.08047319114432255	2.669304282847397	0.00760085565435679	0.04296534812004666
ZFP69B	25.34730155920966	0.13581170624513159	0.05878383936308453	2.310357875848775	0.02086834918308073	0.08322238188705147
RP1-228H13.5	38.76582065382714	0.2145582250529524	0.06167694696072691	3.4787426360382816	0.0005037721502186561	0.007263627796359209
RP11-656D10.7	5.480613941120367	0.29659297259626644	0.1284660378206078	2.30872670806921	0.02095875131001256	0.08341834610107138
ZFP69	73.899043764607	0.13167619471911793	0.05027015108914533	2.6193713737922373	0.008809198707029333	0.047415968784431786
EXO5	76.9527280811578	0.12497915216593411	0.04605951045715791	2.7134277139611163	0.006659109483797496	0.039571816113646796
ZNF684	42.35551320417034	0.19527741749127037	0.06196593669053387	3.151367152997489	0.0016250806986249043	0.015627084913840853
RIMS3	105.16651085983536	0.1512197449069802	0.061266147843046785	2.4682430711063943	0.013577808499033733	0.06297175826808019
NFYC-AS1	23.063832782587017	0.21088672217473323	0.07053598073005585	2.989775147265699	0.0027918287819318566	0.022309073459744217
NFYC	3391.575936224771	0.10103190351460362	0.043783901591133774	2.3075125752398122	0.021026262013355463	0.08353478504041405
HIVEP3	306.4735938935793	-0.22083781427441818	0.09043377938178242	-2.4419836899894642	0.014606806519275173	0.06605430289029039
RIMKLA	9.996861887141867	-0.2617829828414071	0.09095736346201526	-2.8780845538770525	0.004000978847121544	0.028376724608844592
PPIH	330.73104497822766	-0.12729117141639876	0.05078315401474843	-2.506562931861831	0.012191135369587854	0.05852186152385388
YBX1	17596.742381529046	-0.3896922891798682	0.06657770537306316	-5.853194954621172	4.822183029591884e-09	1.2119922547112149e-06
P3H1	828.1448579996146	-0.11085969584619143	0.02887542341913444	-3.8392405277329966	0.00012341548063637723	0.002917615278371068
RP5-848E13.5	44.21707179554011	0.5758455425092112	0.12356556723074792	4.660242779720906	3.1583662818069294e-06	0.00024066702642733782
ST3GAL3	231.2261060084688	-0.12136928875189855	0.052660250208736194	-2.304760958613214	0.02117996475652264	0.08381074220939527
IPO13	755.6464625258778	-0.09785010987980748	0.031992278807187545	-3.0585539238869095	0.002224080479942507	0.01924768743007874
SLC6A9	311.1606236888522	0.2794008126835802	0.11168887255680368	2.5015993651603936	0.012363374311995447	0.05905186806311568
RP5-1198O20.4	225.3806838626104	-0.7075725494925426	0.11456704928434934	-6.1760563260766626	6.572254813407603e-10	2.120617948374775e-07
DMAP1	1529.1213826275955	-0.0936982423687023	0.026505383446705777	-3.535064586298132	0.0004076755009247436	0.006300367595844726
RNF220	1712.40581932578	-0.09587817718370725	0.027133425964618738	-3.5335816903007324	0.0004099693744563141	0.006311827554454946
RPS8	18082.719472934506	-0.12072188009356145	0.051472542620173145	-2.345364614769352	0.019008480558198156	0.07830667534301196
SNORD46	1.8457218837656193	-0.5061044926171495	0.16146670040686267	-3.1344202324186408	0.0017219406289792464	0.01631538745957836
PLK3	3677.400806689055	-0.2515983110105652	0.06530910072878271	-3.852423447926638	0.00011695454585249555	0.002837930580609793
EIF2B3	273.15999600299006	-0.11190506687798399	0.04412859285098398	-2.535885684274402	0.01121633416625352	0.05547067334043813
HECTD3	1745.6272000229146	-0.12644915837748155	0.032996609358792714	-3.83218642262667	0.00012700943524110878	0.002967323175393302
UROD	2023.8076883358247	-0.18618182995909355	0.06906751046489319	-2.6956499330279065	0.0070251453667208716	0.04104218153197804
ZSWIM5	34.77223914966608	-0.20851852620441833	0.08590978032054926	-2.4271802980567223	0.015216691578044578	0.06775996732729772
HPDL	12.146605219228332	0.20804706411856563	0.08740555990191023	2.3802497730355343	0.01730090670896511	0.07370093657269579
MUTYH	302.82291448067303	-0.11345119309514307	0.04633499693905202	-2.4484989875875924	0.014345283313894749	0.06523879399911725
CCDC17	475.5630114160938	0.18277091959543437	0.0792414525635599	2.3065064266563393	0.021082351447099634	0.0836409827604353
GPBP1L1	4004.443433281635	0.10980689565692087	0.03230069115047524	3.3995215503401157	0.0006750386005589519	0.008760786163113399
IPP	115.0096034891137	0.17398451242349225	0.061228830647310335	2.8415455690420743	0.004489543531441371	0.030680260704128687
